pIC50
5.276
4.959
6.523
5.721
6.357
5.252
5.699
5.347
6.337
6.562
5.009
4.81
3.9
3.754
5.0
5.097
3.611
5.222
5.398
5.602
5.444
5.495
6.481
5.62
4.523
3.415
4.509
4.398
4.678
5.18
5.824
6.097
5.523
5.0
4.312
6.699
5.538
5.921
4.86
5.62
5.036
6.222
5.481
4.514
4.845
4.461
5.585
5.553
4.616
3.611
5.0
5.222
5.398
5.602
5.444
5.495
6.481
5.62
4.523
3.415
4.509
4.398
4.678
5.18
5.824
6.097
5.523
5.0
5.456
6.097
5.55
4.57
5.55
7.13
5.4
5.55
5.68
6.55
5.44
6.12
4.0
7.29
6.77
6.84
6.17
4.5
4.5
4.5
5.29
6.97
6.82
5.95
7.367
7.886
7.921
8.523
5.61
6.75
8.0
6.772
6.668
8.143
8.26
8.745
7.357
7.31
6.796
6.886
7.31
7.357
6.886
8.0
6.222
7.0
7.699
7.222
6.222
8.64
6.96
7.602
4.602
5.26
4.638
5.432
5.319
5.201
4.658
4.77
4.854
5.469
5.377
5.032
5.62
5.194
6.62
6.0
5.721
5.921
6.229
6.638
5.367
6.276
6.125
5.886
8.49
6.17
9.15
8.54
6.63
8.46
8.11
8.7
8.46
6.52
7.07
8.0
8.26
8.0
7.68
8.12
7.96
7.92
9.0
7.15
7.91
7.67
7.74
7.89
7.68
7.52
8.24
5.03
5.2
5.05
6.16
5.06
4.92
5.0
5.02
6.68
4.6
5.26
4.64
5.43
5.32
5.2
4.66
7.35
8.85
8.4
5.338
5.398
5.666
5.921
5.529
6.523
6.337
5.658
5.928
6.721
5.821
5.815
5.438
6.456
5.818
6.237
6.0
5.983
5.863
5.879
5.907
6.585
4.766
5.296
5.035
5.456
5.229
5.284
5.69
5.45
5.182
5.421
5.595
5.604
5.371
5.393
5.106
5.133
5.366
5.254
5.947
5.398
6.009
5.15
5.115
5.406
5.337
5.326
4.899
5.742
6.745
6.638
5.174
6.187
6.097
5.701
5.469
5.429
6.097
6.553
7.046
5.893
5.364
5.128
6.143
5.318
5.562
5.553
5.391
6.638
6.367
5.745
8.699
9.301
9.301
6.836
6.553
6.561
7.155
6.547
6.243
8.721
6.252
8.137
6.585
8.276
7.509
7.587
7.752
6.398
3.398
3.523
4.456
4.347
4.301
4.602
4.31
4.593
4.824
5.77
4.839
5.347
4.699
5.26
5.125
4.796
5.328
5.149
6.319
4.996
4.481
4.699
4.854
5.071
5.066
5.495
5.066
3.921
4.721
5.301
5.284
5.42
4.495
6.301
5.071
6.071
6.066
5.469
5.301
5.602
4.796
5.553
4.553
5.456
4.585
5.481
5.796
5.398
5.456
6.097
6.678
6.201
5.959
6.638
6.155
5.658
5.357
5.658
5.886
6.301
5.658
6.721
7.398
6.921
6.469
6.481
6.678
4.377
7.301
7.222
4.77
6.301
5.409
6.301
6.155
6.0
5.407
4.783
5.796
5.276
5.108
4.947
5.42
6.469
4.728
4.967
5.0
4.903
6.495
5.161
4.684
5.201
5.051
4.886
6.161
5.066
5.523
5.367
5.658
5.481
5.102
6.699
5.208
5.31
