nN,AATS8dv,AATS5d,AATS1Z,AATS5Z,AATS8Z,AATS1m,AATS5m,AATS8m,AATS0v,AATS5v,AATS8v,AATS3p,AATS4p,AATS5p,AATS8p,GATS3s,BertzCT,nBondsT,PNSA1,C1SP1,MZ,Mm,Mv,Mp,NtsC,NtN,NaaN,NaasN,StsC,StN,SaaN,SaasN,ETA_beta,ETA_beta_ns,MIC1,MIC2,MIC3,MIC4,MIC5,PEOE_VSA3,PEOE_VSA4,SMR_VSA2,SMR_VSA3,MID_N,AMID_N,piPC7,n5aRing,n5aHRing,AMW
0.0,1.4222222222222225,2.4405286343612334,23.12727272727273,12.422907488986784,8.518518518518519,87.01532736363637,43.08875962114538,25.78826756296296,207.3843495531134,140.7063684870388,101.78763739657744,1.422155207212915,1.259610328460168,1.0770854876864584,0.8542475755781778,0.8349395687986272,749.5003966798674,0.0,191.99388831852824,0.0,0.6153846153846154,0.5738873980902122,0.6080337879096275,0.6496616536158453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,29.787063080026456,36.648340452374256,38.62870442549312,38.78378134857004,38.78378134857004,0.0,0.0,0.0,0.0,0.0,0.0,5.808142489980444,0.0,0.0,6.888038921769243
0.0,1.3623188405797102,2.2115384615384617,22.6,10.783653846153848,7.579710144927536,84.74113268000008,36.23480817788462,23.452800217391296,205.49774696674515,127.6579702247935,95.25811983415365,1.4222873789107011,1.2173565457515778,1.0132359787210437,0.8124472501161882,0.7566427000094152,647.7550535043347,0.0,184.3788722493164,0.0,0.6028368794326242,0.5604738209832475,0.603428299214849,0.6490130207669769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,5.5,28.36601051901596,34.5687333850576,36.75977437659336,36.93134884467847,36.93134884467847,0.0,0.0,0.0,0.0,0.0,0.0,5.616771097666572,0.0,0.0,6.726967218042566
0.0,1.1009174311926606,2.2133333333333334,21.381818181818183,9.848888888888888,7.55045871559633,79.59689700000003,32.19561752888889,24.12187483486239,200.25715599413545,129.42255046301014,100.98429090917512,1.4580321441138604,1.175633724289888,1.0683548949725603,0.8678753493063579,0.8060751333284334,685.1974264614875,0.0,178.04683738876264,0.0,0.5705128205128205,0.5258833249008921,0.5909612801202461,0.646547719944726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,5.5,25.238393371536784,31.534619101768733,34.43890615181067,34.82659845950298,34.82659845950298,0.0,0.0,0.0,0.0,0.0,0.0,5.659482215759621,0.0,0.0,6.31161239915386
0.0,1.3488372093023255,2.344262295081968,21.76271186440678,11.229508196721312,8.511627906976743,81.12494049152548,37.01136975819672,27.95591880620156,198.4901299869748,140.70319419710765,107.22901697144782,1.4716711005739205,1.2007126492738431,1.1139039206268029,0.8919172499250854,0.799779808259296,745.2412074226377,0.0,155.04251289180033,0.0,0.5773809523809523,0.5329608573093711,0.589046669186706,0.641058490162532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,5.5,26.83766523953714,32.93741818100502,35.63425615604397,35.99425615604397,35.99425615604397,0.0,0.0,0.0,0.0,0.0,0.0,5.796057750765372,0.0,0.0,6.396685882857157
0.0,1.412280701754386,2.228448275862069,21.892857142857142,10.525862068965518,8.578947368421053,81.67880764285717,34.07090628448275,28.306484947368425,200.56156393696983,133.53237655672407,105.22675968981488,1.4585887384573797,1.1783175899980758,1.0746105505643968,0.86857050562493,0.7223481359774635,730.1780813539865,0.0,177.67687085183962,0.0,0.5849056603773586,0.5410936201563661,0.5932978428428236,0.6434098293978083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,5.5,26.66157655682609,32.83900557516688,35.688494756340106,36.06887211483067,36.06887211483067,0.0,0.0,0.0,0.0,0.0,0.0,5.736572297479192,0.0,0.0,6.494316214641524
0.0,2.238095238095238,2.226315789473684,23.291666666666668,10.542105263157897,10.238095238095235,87.76755120833342,35.15459629999998,34.227578380952366,213.2494804127813,128.79103219091218,109.8025948149504,1.4662934063944115,1.24349199542253,1.0332374059115002,0.849044342459095,0.70280187678636,700.1581737069055,0.0,202.8506543582922,0.0,0.6222222222222223,0.5816538543372278,0.6182067168736006,0.660112388556221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,6.5,31.21828017368141,37.3868807836959,37.93040922384129,37.93040922384129,37.93040922384129,0.0,0.0,0.0,0.0,0.0,0.0,5.817111159963204,0.0,0.0,6.981151315200012
0.0,1.7011494252873562,2.227272727272727,22.41509433962264,10.472727272727273,9.149425287356324,83.95122443396227,34.40954649545454,29.80735926436782,202.88156996096416,130.15806021420428,107.30917540128064,1.443117577440126,1.2460974753319365,1.0444811562533274,0.8692936392443908,0.8174827566342584,675.1263335543586,0.0,141.35161238276197,0.0,0.5933333333333333,0.5502023145450005,0.5980591573376757,0.6460433293413175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.25,5.5,27.66454121585996,34.39555956074077,36.566215156871614,36.72749515687162,36.72749515687162,0.0,0.0,0.0,0.0,0.0,0.0,5.68697535633982,0.0,0.0,6.6036621862400136
0.0,1.358974358974359,2.2964601769911503,22.071428571428573,10.929203539823009,7.957264957264957,82.46237842857145,36.35066749115044,25.53722613675214,200.56156393696983,134.82411359705682,99.47732488079696,1.4012085231552027,1.260363426462391,1.0721139792908498,0.8404959639836838,0.8423310947136953,690.0096186907115,0.0,156.4412876009505,0.0,0.5849056603773586,0.5410936201563661,0.5932978428428236,0.6434098293978083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.75,5.5,27.278619559660847,34.29346394481362,36.498436767702,36.65058771109823,36.65058771109823,0.0,0.0,0.0,0.0,0.0,0.0,5.717027701406222,0.0,0.0,6.494316214641524
0.0,1.875,2.1490384615384617,22.6,9.884615384615383,9.38888888888889,84.74113268000008,32.14378982692308,30.748139083333324,205.49774696674515,123.71615409167832,104.15563437824376,1.427976605788334,1.2206665657763387,1.006325932901106,0.8276147085439999,0.7325043040641267,660.2807638486642,0.0,174.3018485228893,0.0,0.6028368794326242,0.5604738209832475,0.603428299214849,0.6490130207669769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,5.5,27.53471565512637,34.40767267858182,36.71688075957208,36.88845522765719,36.88845522765719,0.0,0.0,0.0,0.0,0.0,0.0,5.634789603169249,0.0,0.0,6.726967218042566
0.0,1.2,2.0422535211267605,20.88,8.32394366197183,6.923076923076923,77.45845855999995,26.47863123004694,20.774606907692306,197.6123413270249,117.92787240207002,80.40641521867234,1.426176625392854,1.2261735478065223,1.015132688338803,0.6919681166902462,0.8332322052981138,559.9136621003983,0.0,141.9230744777965,0.0,0.5531914893617021,0.5073629314971912,0.5845395671925546,0.6455678175563768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,4.0,25.18171239136078,30.722938849989355,33.055358713713346,33.28601672652571,33.28601672652571,0.0,0.0,0.0,0.0,0.0,0.0,5.564520407322694,0.0,0.0,6.0892187249361855
